NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Pot De Fusion,500,North Indian,,,,,,,,,,
House of Lloyd,2500,Goan,,,,,,,,,,
The Market Project by PizzaExpress,1200,Italian,,,,,,,,,,
D:OH!,1200,Fast Food,,,,,,,,,,
Culinary Tales,1200,Chinese,,,,,,,,,,
Duma Dum Mast Kalandar,700,Sindhi,Mumbai,Chembur,https://www.zomato.com/mumbai/duma-dum-mast-kalandar-chembur/info,11,Casual Dining,12noon to 330pm,,,,
Bachelorr's,750,Beverages,,,,,,,,,,
Malhar Lunch Home,900,North Indian,,,,,,,,,,
Quench - All Day Pub,1600,Continental,,,,,,,,,,
Terttulia,1400,Italian,,,,,,,,,,
Dum & Curry,700,Mughlai,,,,,,,,,,
Third Eye Cafe,900,Continental,,,,,,,,,,
Mehman Nawazi,1450,North Indian,Mumbai,Powai,https://www.zomato.com/mumbai/mehman-nawazi-powai/info,11,Casual Dining,12noon to 4pm,,,,
Meraki,700,Chinese,,,,,,,,,,
Eat Play Love,600,Italian,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
Food Magic,250,Fast Food,,,,,,,,,,
24 Pie,500,Bakery,Mumbai,Chembur,https://www.zomato.com/mumbai/24-pie-chembur/info,110,Bakery,11am to 1am(Mon-Sun),Average,3.2,4,
Hotel Mayur,450,Chinese,,,,,,,,,,
Jalsaa Food Corner,450,Chinese,,,,,,,,,,
Sips N Bite,300,American,,,,,,,,,,
JumboKing,250,Fast Food,,,,,,,,,,
Himalaya Punjab,800,North Indian,,,,,,,,,,
Prabhu Ice Cream,250,Ice Cream,,,,,,,,,,
Rehmani,400,Chinese,,,,,,,,,,
Hazara Restaurant & Bar,600,North Indian,,,,,,,,,,
Krème de la Krème - The Gelateria,300,Desserts,,,,,,,,,,
Aroma Family Restaurant & Bar,700,North Indian,,,,,,,,,,
Flip Bar & Kitchen,1400,Chinese,,,,,,,,,,
The Tangy Tandoor,700,North Indian,,,,,,,,,,
Parimal's Kitchen,500,Chinese,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
The China Village,650,Chinese,,,,,,,,,,
Tokyo Treat,700,Japanese,,,,,,,,,,
WTF!,1500,North Indian,,,,,,,,,,
Green Tadka,700,North Indian,,,,,,,,,,
Archana Restaurant,800,Chinese,,,,,,,,,,
Satkar Rice Plate House,500,Malwani,,,,,,,,,,
Hrezzo,1000,North Indian,,,,,,,,,,
Joss,2500,Japanese,,,,,,,,,,
Veg Canteen,1100,North Indian,,,,,,,,,,
Gypsy Chinese,1000,Chinese,,,,,,,,,,
Daawat,600,North Indian,,,,,,,,,,
Laxmi Balaji Snacks Corner,250,Fast Food,Mumbai,Goregaon West,https://www.zomato.com/mumbai/laxmi-balaji-snacks-corner-goregaon-west/info,111,Quick Bites,1130am to 1130pm(Mon-Sun),Very Good,4.3,321,
Nomada,1300,American,Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/nomada-versova/info,111,Casual Dining,Closed(Mon),,,,
Zaika Restaurant & Party Hall,1000,North Indian,,,,,,,,,,
Royal China,2500,Asian,,,,,,,,,,
NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,
India Bistro,1600,North Indian,,,,,,,,,,
Le Café,1200,Cafe,,,,,,,,,,
Mani's Lunch Home,400,South Indian,Mumbai,Chembur,https://www.zomato.com/mumbai/manis-lunch-home-chembur/info,112,Quick Bites,Closed(Mon),,,,
Sadguru Veg Diet,650,North Indian,,,,,,,,,,
Trupti,250,South Indian,,,,,,,,,,
Govinda's Restaurant,900,North Indian,,,,,,,,,,
Pride Kitchen Hyderabadi Biryani,500,Biryani,,,,,,,,,,
Whacko Taco,400,Mexican,Mumbai,Versova-- Andheri West,https://www.zomato.com/mumbai/whacko-taco-versova/info,112,Quick Bites,12noon to 12midnight(Mon-Sun),Very Good,4.1,98,
Dhaba Cafe,500,Cafe,,,,,,,,,,
Natural Fresh Ice-Cream,350,Desserts,,,,,,,,,,
The American Joint,1400,Healthy Food,,,,,,,,,,
The Butter Kitchen,1500,North Indian,,,,,,,,,,
Chulha,900,North Indian,,,,,,,,,,
Mocambo Cafe,1400,Italian,,,,,,,,,,
JP's Lunch Home,500,Malwani,,,,,,,,,,
